Country,Region,Installs,Active_Users,Market_Share_Pct
China,East Asia,47,39,20.89%
United States,North America,38,31,16.89%
Germany,Europe,10,9,4.44%
South Korea,East Asia,10,8,4.44%
Spain,Europe,10,8,4.44%
India,South Asia,9,7,4.00%
United Kingdom,Europe,9,8,4.00%
Japan,East Asia,9,8,4.00%
Brazil,South America,8,6,3.56%
Uzbekistan,Central Asia,8,8,3.56%
France,Europe,7,6,3.11%
Canada,North America,7,5,3.11%
Australia,Oceania,6,5,2.67%
Russia,Eurasia,6,5,2.67%
Other (30 Countries),Global,41,34,18.22%
